area,Name,ORDER_NO,DATE_REC,DISTRIBUT,DIST_ADDR,DIST_ID,CROPNAME_,FIELDREF,FARMER,FARMER_AD,CUST_ID,DAN,CUST_ORD_,Organic M,Ca,Mg,Mg_Index,Mn,B,Cu,Mo,Fe,Zn,S,P,P_Index,K,K_Index,Na,pH,C.E.C,DISTANCE,SWATHWIDTH,VRYIELDMAS,SECTIONID,Crop,WetMass,Moisture,Time,Heading,VARIETY,Elevation,IsoTime,Machine
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.29848457,1.46666667,0.00000000,214,41,0.00000000,7.69600000,9/20/2020 9:30:19 AM,232.13184448,Ласкала,275.17017529,2020-09-20T09:30:19.074Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.09848457,2.93333333,0.00000000,214,41,0.00000000,7.70000000,9/20/2020 9:30:20 AM,230.11184448,Ласкала,275.12717529,2020-09-20T09:30:20.076Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.11848457,8.80000000,0.08016714,214,41,0.08016714,6.80000000,9/20/2020 9:30:26 AM,237.89184448,Ласкала,274.70817529,2020-09-20T09:30:26.071Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.24848457,8.80000000,0.07695896,214,41,0.07695896,6.73000000,9/20/2020 9:30:27 AM,236.73184448,Ласкала,274.59917529,2020-09-20T09:30:27.082Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.22848457,8.80000000,0.10207435,214,41,0.10207435,6.69000000,9/20/2020 9:30:28 AM,236.06184448,Ласкала,274.38817529,2020-09-20T09:30:28.073Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.17848457,8.80000000,0.05005244,214,41,0.05005244,6.65000000,9/20/2020 9:30:29 AM,234.69184448,Ласкала,274.28117529,2020-09-20T09:30:29.074Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.09848457,8.80000000,0.09168705,214,41,0.09168705,6.61000000,9/20/2020 9:30:30 AM,234.77184448,Ласкала,274.09617529,2020-09-20T09:30:30.076Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.14848457,8.80000000,0.10827720,214,41,0.10827720,6.53000000,9/20/2020 9:30:31 AM,235.76184448,Ласкала,273.89217529,2020-09-20T09:30:31.076Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.22848457,8.80000000,0.08095552,214,41,0.08095552,6.30000000,9/20/2020 9:30:32 AM,235.28184448,Ласкала,273.67217529,2020-09-20T09:30:32.077Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.21848457,8.80000000,0.07414557,214,41,0.07414557,6.15000000,9/20/2020 9:30:33 AM,235.14184448,Ласкала,273.40017529,2020-09-20T09:30:33.078Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.02848457,8.80000000,0.00000000,214,41,0.00000000,6.09000000,9/20/2020 9:30:34 AM,236.17184448,Ласкала,273.14117529,2020-09-20T09:30:34.080Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,2.92848457,8.80000000,0.08536839,214,41,0.08536839,6.07000000,9/20/2020 9:30:35 AM,234.82184448,Ласкала,272.85917529,2020-09-20T09:30:35.071Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,2.95848457,8.80000000,0.13827718,214,41,0.13827718,6.08000000,9/20/2020 9:30:36 AM,233.00184448,Ласкала,272.59317529,2020-09-20T09:30:36.074Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,2.95848457,8.80000000,0.24582610,214,41,0.24582610,6.11000000,9/20/2020 9:30:37 AM,232.00184448,Ласкала,272.40917529,2020-09-20T09:30:37.076Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,2.96848457,8.80000000,0.23734179,214,41,0.23734179,6.13000000,9/20/2020 9:30:38 AM,231.65184448,Ласкала,272.04917529,2020-09-20T09:30:38.078Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.12848457,8.80000000,0.17798336,214,41,0.17798336,6.17000000,9/20/2020 9:30:39 AM,230.36184448,Ласкала,271.74317529,2020-09-20T09:30:39.069Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.11848457,8.80000000,0.10567487,214,41,0.10567487,6.20000000,9/20/2020 9:30:40 AM,230.42184448,Ласкала,271.47217529,2020-09-20T09:30:40.072Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.04848457,8.80000000,0.13419484,214,41,0.13419484,6.16000000,9/20/2020 9:30:41 AM,231.70184448,Ласкала,271.29517529,2020-09-20T09:30:41.074Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,2.88848457,8.80000000,0.13769410,214,41,0.13769410,5.99000000,9/20/2020 9:30:42 AM,233.71184448,Ласкала,271.04217529,2020-09-20T09:30:42.077Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,2.91848457,8.80000000,0.10902296,214,41,0.10902296,5.88000000,9/20/2020 9:30:43 AM,232.34184448,Ласкала,270.78417529,2020-09-20T09:30:43.078Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.01848457,8.80000000,0.22211627,214,41,0.22211627,5.83000000,9/20/2020 9:30:44 AM,230.92184448,Ласкала,270.55117529,2020-09-20T09:30:44.079Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.07848457,8.80000000,0.31376122,214,41,0.31376122,5.80000000,9/20/2020 9:30:45 AM,232.05184448,Ласкала,270.24317529,2020-09-20T09:30:45.072Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.15848457,8.80000000,0.10433657,214,41,0.10433657,5.78000000,9/20/2020 9:30:46 AM,231.98184448,Ласкала,269.94017529,2020-09-20T09:30:46.071Z,1
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5,3.18848457,8.80000000,0.31719258,214,41,0.31719258,5.75000000,9/20/2020 9:30:47 AM,229.83184448,Ласкала,269.62317529,2020-09-20T09:30:47.072Z,1
