area,Name,ORDER_NO,DATE_REC,DISTRIBUT,DIST_ADDR,DIST_ID,CROPNAME_,FIELDREF,FARMER,FARMER_AD,CUST_ID,DAN,CUST_ORD_,Organic M,Ca,Mg,Mg_Index,Mn,B,Cu,Mo,Fe,Zn,S,P,P_Index,K,K_Index,Na,pH,C.E.C
6.03,AS-4526,AGS-8/27,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,4207,103,3.0,132,2.33,4.5,0.03,68,1.7,2,8,0.8,375,3.8,11,8.1,23.5
5.18,AS-4535,AGS-8/36,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,9.5,4901,100,3.0,146,5.28,4.8,0.01,35,2.9,5,5,0.5,363,3.8,9,8.2,26.9
4.92,AS-4529,AGS-8/30,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,6.2,4700,153,3.7,128,2.39,5.3,0.02,186,1.4,1,6,0.6,203,2.7,0,7.5,25.9
5.14,AS-4532,AGS-8/33,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,5.2,4629,141,3.5,165,2.54,5.3,0.03,132,1.5,1,6,0.6,173,2.4,1,7.4,25.4
5.22,AS-4536,AGS-8/37,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.2,4628,118,3.2,231,4.28,5.1,0.02,98,1.8,2,6,0.6,251,3.1,0,8.0,25.3
4.95,AS-4533,AGS-8/34,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,5.6,4983,136,3.5,196,2.96,5.1,0.02,127,1.4,1,5,0.5,225,2.9,8,7.6,27.2
4.88,AS-4534,AGS-8/35,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,6.3,4984,166,3.9,201,3.86,5.6,0.02,116,1.7,2,6,0.6,357,3.7,0,7.9,28.0
4.91,AS-4527,AGS-8/28,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.1,3992,154,3.7,140,2.56,6.0,0.02,150,1.7,1,5,0.5,334,3.6,0,7.5,22.8
4.93,AS-4528,AGS-8/29,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,5.5,4881,135,3.5,135,2.15,5.1,0.02,155,1.3,1,7,0.7,202,2.7,0,7.5,26.6
5.56,AS-4530,AGS-8/31,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,5.0,4144,158,3.8,141,2.04,5.5,0.02,193,1.4,1,5,0.5,189,2.6,0,7.1,25.5
5.35,AS-4531,AGS-8/32,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,5.1,4595,155,3.7,159,2.34,5.5,0.01,162,1.4,1,5,0.5,193,2.6,3,7.4,25.4
5.17,AS-4525,AGS-8/26,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,7.0,3890,169,3.9,132,2.28,6.0,0.02,171,1.5,2,5,0.5,384,3.9,1,7.8,22.6
4.71,AS-4524,AGS-8/25,17/11/2022,Agrosem,,UK0009,Maize,Поле №62 (67 ha),ELGAUCHO,TERNOPIL REGION,"2901473",,,6.0,4779,168,3.9,111,2.42,5.3,0.02,181,1.4,1,6,0.6,233,2.9,1,7.2,27.9
